Mean,Median,StdDev,Variance,RMS,Max,Skewness,Kurtosis,FileName
-0.006316477,-0.00113769,0.024448623,0.000597735,0.025249952,0.07047641,-0.137074166,-0.787766531,1000_FGBSIRFB
-0.006113724,-0.001091548,0.024496496,0.000600078,0.025246439,0.07322396,-0.120225051,-0.767948941,1000_FGBSIRFB
-0.005942727,-0.001035748,0.024484064,0.000599469,0.025193496,0.06895653,-0.134031355,-0.788520729,1000_FGBSIRFB
-0.006094199,-0.001201849,0.024513387,0.000600906,0.025258108,0.07313193,-0.125268217,-0.783915749,1000_FGBSIRFB
-0.006222074,-0.001149007,0.024514625,0.000600967,0.025290466,0.06964573,-0.134174747,-0.792651692,1000_FGBSIRFB
-0.005781788,-0.000807937,0.024532255,0.000601832,0.025202919,0.0704726,-0.117922704,-0.755453086,1000_FGBSIRFB
-0.005442623,-0.000524089,0.024560452,0.000603216,0.025154807,0.0724806,-0.119601814,-0.774564258,1000_FGBSIRFB
-0.005601678,-0.000638079,0.024475321,0.000599041,0.025106713,0.06816345,-0.11337179,-0.76967224,1000_FGBSIRFB
-0.005854392,-0.000522392,0.024565243,0.000603451,0.025251761,0.06926378,-0.132748117,-0.791943153,1000_FGBSIRFB
-0.00589823,-0.000468933,0.024565395,0.000603459,0.025262108,0.07015913,-0.135722198,-0.77862208,1000_FGBSIRFB
-0.005766183,-0.000420333,0.024478166,0.000599181,0.025146697,0.07186924,-0.137158832,-0.802619368,1000_FGBSIRFB
-0.005726181,-0.00066097,0.024501085,0.000600303,0.025159869,0.07392097,-0.127875575,-0.768332962,1000_FGBSIRFB
-0.006029227,-0.000781462,0.024390386,0.000594891,0.025123094,0.06970454,-0.14129879,-0.762615578,1000_FGBSIRFB
-0.005952436,-0.000771186,0.024494701,0.00059999,0.025206123,0.06838334,-0.125596308,-0.739160779,1000_FGBSIRFB
-0.006106309,-0.000788243,0.024540527,0.000602237,0.025287367,0.07251834,-0.127828268,-0.757366812,1000_FGBSIRFB
-0.005566077,-0.000142899,0.024518724,0.000601168,0.025141114,0.07342798,-0.119010972,-0.77652521,1000_FGBSIRFB
